
address_id,full_address,building_name,street_number,street_name,street_type,direction,city,met_area,province_or_state,postal_code,country_id,time_stamp
2085,"Fairmont Empress, 721 Government Street, Victoria, BC,  BC, V8W 1W5, CA",,,,,,,,BC,V8W 1W5,CA,2025-03-09 22:13:29.913550
2088,"Solwood Studio, 1303 Broad St,  BC, V8W 2A8, CA",,,,,,,,BC,V8W 2A8,CA,2025-03-09 21:11:24.447548
2086,"111 Superior ST, VICTORIA, BC, V8V1T2, CA",,111,Superior,ST,,VICTORIA,,BC,V8V1T2,CA,2025-03-09 20:59:09.355486
4107,"Gordon Head Rec. Centre Auditorium,  BC, V8N 5R3, CA",,,,,,Victoria,,BC,V8N 5R3,CA,2025-03-06 16:59:37.831797
4025,"Vancouver, Canada (departing from Coral Princess), Vancouver, BC, CA",,,,,,Vancouver,,BC,,CA,2025-03-06 16:56:32.639599
4042,"Monterey Rec. Centre, Oak Bay,  BC, V8S 4W1, CA",,,,,,Victoria,,BC,V8S 4W1,CA,2025-03-06 16:59:31.362444
2172,"11 High ST, VICTORIA, BC, V8Z5C8, CA",,11,High,ST,,VICTORIA,,BC,V8Z5C8,CA,2025-03-09 17:03:14.009745
2121,"Belleville's Watering Hole & Diner, 427 Belleville Street, Victoria, British Columbia,  BC, V8V 4W9, CA",,,,,,,,BC,V8V 4W9,CA,2025-03-09 21:37:42.315098
2080,"Southern Alberta Jubilee Auditorium, Calgary, AB,  BC, T2N 1M4, CA",,,,,,,,BC,T2N 1M4,CA,2025-03-09 18:30:40.239775
2107,"2391 First AVE, DUNCAN, BC, V9L6M5, CA",,2391,First,AVE,,DUNCAN,,BC,V9L6M5,CA,2025-03-09 21:23:27.046152
2092,"158 Medana ST, VICTORIA, BC, V8V2H5, CA",,158,Medana,ST,,VICTORIA,,BC,V8V2H5,CA,2025-03-09 21:09:36.459922
2106,"2900 Cliffe Avenue, Courtenay, BC, Canada, British Columbia V9N 071,  BC, V9N 2L9, CA",,2900,Cliffe,Avenue,,Courtenay,,BC,V9N 2L9,CA,2025-03-09 21:23:49.465586
2108,"1956 rue Frontenac, Montreal, QC, Canada, Quebec H2K2Z1,  BC, H2K2Z1, CA",,1956,Frontenac,rue,,Montreal,,QC,H2K2Z1,CA,2025-03-07 08:45:11.577661
2118,"751 View ST, VICTORIA, BC, V8W1J9, CA",,751,View,ST,,VICTORIA,,BC,V8W1J9,CA,2025-03-09 21:39:46.442179
2131,"516 Quadra ST, VICTORIA, BC, V8V3S3, CA",,516,Quadra,ST,,VICTORIA,,BC,V8V3S3,CA,2025-03-09 21:49:43.878234
address_id,full_address,building_name,street_number,street_name,street_type,direction,city,met_area,province_or_state,postal_code,country_id,time_stamp
2141,"2675 Wilfert RD, VICTORIA, BC, V9B6M3, CA",,2675,Wilfert,RD,,VICTORIA,,BC,V9B6M3,CA,2025-03-09 21:58:20.925474
2136,"Baza Dance Studios, 1304 Seymour Street, Vancouver, British Columbia,  BC, V6B 3P3, CA",Baza Dance Studios,1304,Seymour,Street,,Vancouver,,BC,V6B 3P3,CA,2025-03-09 21:52:21.270455
2133,"1696 Cary RD, KELOWNA, BC, V1X2B9, CA",,1696,Cary,RD,,KELOWNA,,BC,V1X2B9,CA,2025-03-07 09:25:42.619582
