event_id,building_name,full_address,address_id
2028,720 Station Ave,"720 Station Ave, 720 Station Ave, Langford, BC V9B 2S1",12623
2315,Beacon Park Sidney,"Beacon Park Sidney, 9801 Seaport Pl, Sidney, BC V8L 4X3",12624
2326,Beacon Park Sidney,"Beacon Park Sidney, 9801 Seaport Pl, Sidney, BC V8L 4X3",12624
2324,Beacon Park Sidney,"Beacon Park Sidney, 9801 Seaport Pl, Sidney, BC V8L 4X3",12624
2338,Beacon Park Sidney,"Beacon Park Sidney, 9801 Seaport Pl, Sidney, BC V8L 4X3",12624
2397,Beacon Park Sidney,"Beacon Park Sidney, 9801 Seaport Pl, Sidney, BC V8L 4X3",12624
2469,Beacon Park Sidney,"Beacon Park Sidney, 9801 Seaport Pl, Sidney, BC V8L 4X3",12624
2474,Beacon Park Sidney,"Beacon Park Sidney, 9801 Seaport Pl, Sidney, BC V8L 4X3",12624
2427,Beckwith Park,"Beckwith Park, 857 Beckwith Ave, Victoria, BC V8X 3S3",12625
2429,Brydon Park,"Brydon Park, Viewmont Avenue or Vanguard Place, Royal Oak, BC",12626
997,"Brydon Park, End of Viewmont Ave","Brydon Park, End of Viewmont Ave, Viewmont Avenue or Vanguard Place, Royal Oak, BC",12627
2295,Bullen Park,"Bullen Park, 527 Fraser St, Victoria, BC V9A 6H7",12628
2305,Bullen Park,"Bullen Park, 527 Fraser St, Victoria, BC V9A 6H7",12628
2361,Bullen Park,"Bullen Park, 527 Fraser St, Victoria, BC V9A 6H7",12628
2363,Bullen Park,"Bullen Park, 527 Fraser St, Victoria, BC V9A 6H7",12628
2442,Bullen Park,"Bullen Park, 527 Fraser St, Victoria, BC V9A 6H7",12628
2479,Bullen Park,"Bullen Park, 527 Fraser St, Victoria, BC V9A 6H7",12628
989,Bullen Park,"Bullen Park, 527 Fraser St, Victoria, BC V9A 6H7",12628
990,Bullen Park,"Bullen Park, 527 Fraser St, Victoria, BC V9A 6H7",12628
991,Bullen Park,"Bullen Park, 527 Fraser St, Victoria, BC V9A 6H7",12628
992,Bullen Park,"Bullen Park, 527 Fraser St, Victoria, BC V9A 6H7",12628
988,Bullen Park,"Bullen Park, 527 Fraser St, Victoria, BC V9A 6H7",12628
2297,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2271,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2273,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2274,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2292,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2293,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2301,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2303,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2304,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2306,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2308,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2313,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2310,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2311,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2312,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2316,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2322,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2320,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2325,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2327,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2329,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2339,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2344,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2342,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2343,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2345,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2348,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2349,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2350,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2360,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2366,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
2371,Cameron Bandshell,"Cameron Bandshell, 250 Bridge Way, Victoria, BC V8V 2P2",12629
